Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,FamilySize,CustomerTenure,TotalSpend,Cluster_KMeans,Cluster_GMM,Cluster_HDBSCAN,PCA1,PCA2
2,4,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,68,0,4502,1617,1,1,-1,1.9653800016235259,-1.5443432465091573
2,4,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,71,2,3952,27,2,0,0,-1.5397344712717136,0.8234820942716442
2,5,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,60,0,4151,776,1,1,2,1.3188332030328984,-0.10453755567392412
2,5,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,41,1,3978,53,2,0,3,-1.4534406532627935,0.36272143650837785
4,3,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,44,1,4000,422,2,2,3,0.030806073893379974,1.3216010981360813
3,5,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,58,1,4132,716,3,1,3,0.45761623944998897,0.8110630913454769
2,2,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,54,1,4432,590,3,3,3,0.09803337553001125,-0.6206914236516814
4,3,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,40,1,4256,169,3,2,3,-0.8828492802628409,0.9065129216396026
4,5,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,51,1,4227,46,3,0,3,-1.077101215516578,0.8864797046918187
4,5,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,75,2,3947,49,2,0,-1,-2.50265700323948,1.3543202533799934
2,3,51381.5,1,0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,42,1,4065,19,2,0,3,-0.7804617136697344,0.6326613659018403
1,3,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,49,0,4432,61,0,0,-1,-1.3296418144150506,-2.1235823139291057
2,2,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,66,0,4065,1102,1,1,-1,1.3335790043194589,-0.11174764338142408
3,2,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,73,2,4065,310,2,2,-1,-0.7607005710900033,1.2339056557894543
2,3,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,38,0,4466,46,0,0,-1,-0.9648000492029623,-1.358055483719622
4,4,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,79,0,4421,1315,1,1,-1,2.489055006886358,0.4457395199792245
2,3,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,45,2,4391,96,3,0,0,-1.4307126364416052,-0.5993114057142607
